,composer,song_name,year,era
227,Haydn,sonata_XVI.9_1_(c)iscenko.mid,1766,Classical
228,Haydn,sonata_XVI.11_3_(c)iscenko.mid,1767,Classical
229,Haydn,sonata_XVI.10_3_(c)iscenko.mid,1767,Classical
230,Haydn,sonata_XVI.19_1_(c)iscenko.mid,1767,Classical
231,Haydn,sonata_XVI.11_1_(c)iscenko.mid,1767,Classical
232,Haydn,sonata_XVI.10_2_(c)iscenko.mid,1767,Classical
233,Haydn,sonata_XVI.10_1_(c)iscenko.mid,1767,Classical
234,Haydn,sonata_XVI.19_3_(c)iscenko.mid,1767,Classical
235,Haydn,sonata_XVI.11_2_(c)iscenko.mid,1767,Classical
236,Haydn,sonata_XVI.19_2_(c)iscenko.mid,1767,Classical
237,Haydn,sonata_XVI.20_1_(c)iscenko.mid,1771,Classical
238,Haydn,sonata_XVI.20_2_(c)iscenko.mid,1771,Classical
239,Haydn,sonata_XVI.20_3_(c)iscenko.mid,1771,Classical
240,Haydn,sonata_XVI.18_2_(c)iscenko.mid,1773,Classical
241,Haydn,sonata_XVI.18_1_(c)iscenko.mid,1773,Classical
242,Mozart,piano_sonata_283_(hisamori).mid,1775,Classical
243,Mozart,piano_sonata_282_(hisamori).mid,1775,Classical
244,Mozart,piano_sonata_280_(hisamori).mid,1775,Classical
245,Mozart,piano_sonata_279_(hisamori).mid,1775,Classical
246,Mozart,piano_sonata_281_(hisamori).mid,1775,Classical
247,Mozart,piano_sonata_284_(hisamori).mid,1775,Classical
248,Mozart,piano_sonata_310_1_(c)oguri.mid,1778,Classical
249,Mozart,piano_sonata_310_3_(c)oguri.mid,1778,Classical
250,Mozart,piano_sonata_310_2_(c)oguri.mid,1778,Classical
251,Clementi,piano_sonata_7_3_(c)soltau.mid,1782,Classical
252,Mozart,piano_fantasie_397_(c)oguri.mid,1782,Classical
253,Mozart,piano_fantasie_396_(hisamori).mid,1782,Classical
254,Mozart,piano_sonata_331_1_(c)oguri.mid,1783,Classical
255,Mozart,piano_sonata_331_2_(c)oguri.mid,1783,Classical
256,Mozart,piano_sonata_331_3_(c)oguri.mid,1783,Classical
257,Mozart,piano_sonata_330_1_(c)oguri.mid,1783,Classical
258,Mozart,piano_sonata_330_3_(c)oguri.mid,1783,Classical
259,Mozart,piano_sonata_330_2_(c)oguri.mid,1783,Classical
260,Clementi,piano_sonata_12_4_(c)soltau.mid,1784,Classical
261,Clementi,piano_sonata_12_2_(c)soltau.mid,1784,Classical
262,Clementi,piano_sonata_12_1_(c)soltau.mid,1784,Classical
263,Mozart,piano_sonata_457_3_(c)oguri.mid,1784,Classical
264,Mozart,piano_sonata_457_1_(c)oguri.mid,1784,Classical
265,Mozart,piano_sonata_457_2_(c)oguri.mid,1784,Classical
266,Mozart,piano_fantasie_475_(c)oguri.mid,1785,Classical
267,Mozart,piano_sonata_545_1_(c)oguri.mid,1788,Classical
268,Mozart,piano_sonata_545_3_(c)oguri.mid,1788,Classical
269,Mozart,piano_sonata_545_2_(c)oguri.mid,1788,Classical
270,Beethoven,preludes_for_piano_or_organ_39_(c)hisamori.mid,1789,Classical Romantic
271,Mozart,piano_sonata_570_2_(c)oguri.mid,1789,Classical
272,Mozart,piano_sonata_570_1_(c)oguri.mid,1789,Classical
273,Mozart,piano_sonata_570_3_(c)oguri.mid,1789,Classical
274,Clementi,piano_sonata_25_2_(c)soltau.mid,1790,Classical
275,Clementi,piano_sonata_25_1_(c)soltau.mid,1790,Classical
276,Clementi,piano_sonata_26_3_(c)soltau.mid,1791,Classical
277,Clementi,piano_sonata_26_2_(c)soltau.mid,1791,Classical
278,Beethoven,variations_woo-66_(c)hisamori.mid,1792,Classical Romantic
279,Clementi,piano_sonata_40_2_(c)soltau.mid,1793,Classical
280,Beethoven,sonate_01_(c)hisamori.mid,1793,Classical Romantic
281,Beethoven,sonate_03_(c)hisamori.mid,1794,Classical Romantic
282,Beethoven,sonate_02_(c)hisamori.mid,1794,Classical Romantic
283,Beethoven,variations_woo-69_(c)hisamori.mid,1795,Classical Romantic
284,Beethoven,sonate_05_(c)hisamori.mid,1795,Classical Romantic
285,Clementi,piano_sonata_34_1_(c)soltau.mid,1795,Classical
286,Beethoven,rondo_for_piano_129_(c)hisamori.mid,1795,Classical Romantic
287,Beethoven,variations_woo-70_(c)hisamori.mid,1795,Classical Romantic
288,Beethoven,sonate_20_(c)hisamori.mid,1795,Classical Romantic
289,Beethoven,variations_woo-68_(c)hisamori.mid,1795,Classical Romantic
290,Beethoven,variations_woo-72_(c)hisamori.mid,1795,Classical Romantic
291,Beethoven,sonate_04_(c)hisamori.mid,1796,Classical Romantic
292,Beethoven,sonate_06_(c)hisamori.mid,1796,Classical Romantic
293,Beethoven,rondos_for_piano_51_(c)hisamori.mid,1796,Classical Romantic
294,Beethoven,sonate_07_(c)hisamori.mid,1797,Classical Romantic
295,Beethoven,sonate_19_(c)hisamori.mid,1797,Classical Romantic
296,Beethoven,sonate_08_(c)hisamori.mid,1797,Classical Romantic
297,Clementi,piano_sonata_37_2_(c)soltau.mid,1798,Classical
298,Clementi,piano_sonata_37_3_(c)soltau.mid,1798,Classical
299,Clementi,piano_sonata_37_1_(c)soltau.mid,1798,Classical
300,Beethoven,sonate_09_(c)hisamori.mid,1798,Classical Romantic
301,Beethoven,variations_woo-73_(c)hisamori.mid,1799,Classical Romantic
302,Beethoven,sonate_10_(c)hisamori.mid,1799,Classical Romantic
303,Beethoven,variations_woo-75_(c)hisamori.mid,1799,Classical Romantic
304,Beethoven,sonate_12_(c)hisamori.mid,1800,Classical Romantic
305,Beethoven,sonate_13_(c)hisamori.mid,1800,Classical Romantic
306,Beethoven,variations_woo-77_(c)hisamori.mid,1800,Classical Romantic
307,Beethoven,sonate_11_(c)hisamori.mid,1800,Classical Romantic
308,Beethoven,sonate_14_(c)hisamori.mid,1801,Classical Romantic
309,Beethoven,sonate_15_(c)hisamori.mid,1801,Classical Romantic
310,Beethoven,sonate_16_(c)hisamori.mid,1802,Classical Romantic
311,Beethoven,sonate_17_(c)hisamori.mid,1802,Classical Romantic
312,Beethoven,sonate_18_(c)hisamori.mid,1802,Classical Romantic
313,Beethoven,Beethoven_7_bagattelles_33.mid,1802,Classical Romantic
314,Beethoven,variations_woo-78_(c)hisamori.mid,1802,Classical Romantic
315,Beethoven,sonate_21_(c)hisamori.mid,1803,Classical Romantic
316,Beethoven,variations_woo-79_(c)hisamori.mid,1803,Classical Romantic
317,Beethoven,sonate_22_(c)hisamori.mid,1804,Classical Romantic
318,Beethoven,sonate_23_(c)hisamori.mid,1804,Classical Romantic
319,Beethoven,sonate_26_(c)hisamori.mid,1809,Classical Romantic
320,Beethoven,sonate_24_(c)hisamori.mid,1809,Classical Romantic
321,Beethoven,fantasy_for_piano_77_(c)hisamori.mid,1809,Classical Romantic
322,Beethoven,variations_woo-76_(c)hisamori.mid,1809,Classical Romantic
323,Beethoven,sonate_25_(c)hisamori.mid,1809,Classical Romantic
324,Beethoven,sonate_27_(c)hisamori.mid,1814,Classical Romantic
325,Beethoven,polonaise_for_piano_89_(c)hisamori.mid,1814,Classical Romantic
326,Beethoven,sonate_28_(c)hisamori.mid,1816,Classical Romantic
327,Beethoven,sonate_29_(c)hisamori.mid,1817,Classical Romantic
328,Beethoven,sonate_30_(c)hisamori.mid,1820,Classical Romantic
329,Beethoven,sonate_31_(c)hisamori.mid,1821,Classical Romantic
330,Beethoven,sonate_32_(c)hisamori.mid,1821,Classical Romantic
